episode,avg_return,loss,theta_width_deg
198,464.298392,21.768260,5.00
199,345.939031,51.669926,5.00
200,462.995715,27.198965,5.00
201,489.827776,22.031296,5.00
202,513.560060,11.263770,5.00
203,538.428905,29.256760,5.00
204,485.522941,34.520748,5.00
205,459.159234,65.153066,5.00
206,568.526495,42.756634,5.00
207,594.077099,24.149258,5.00
208,390.175079,54.963371,5.00
209,520.962918,27.716188,5.00
210,508.959228,62.357234,5.00
211,551.480623,20.473734,5.00
212,536.663133,26.026816,5.00
213,510.460591,32.310363,5.00
214,532.271530,42.163784,5.00
215,586.980105,27.439255,5.00
216,659.072153,11.866538,5.00
217,616.892475,10.978768,5.00
218,576.560840,20.084615,5.00
219,663.600835,6.918473,5.00
220,696.720920,14.102928,5.00
221,678.548916,13.439934,5.00
222,645.569599,20.229694,5.00
223,580.150814,79.039232,5.00
224,700.427189,10.131053,5.00
225,723.435636,19.467377,5.00
226,713.672880,12.156688,5.00
227,678.301646,23.734747,5.00
228,621.764396,20.496849,5.00
229,687.318053,12.993402,5.00
230,706.265808,13.566370,5.00
231,641.786889,15.651162,5.00
232,695.303641,10.030493,5.00
233,694.728677,20.969227,5.00
234,686.737606,28.199330,5.00
235,706.020203,10.899047,5.00
236,720.448232,14.474089,5.00
237,663.978928,16.734456,5.00
238,707.238777,7.763657,5.00
239,694.996974,4.965137,5.00
240,654.955639,24.735527,5.00
241,700.868540,15.655897,5.00
242,686.652309,7.904789,5.00
243,653.842073,52.387494,5.00
244,695.419850,10.422641,5.00
245,665.214843,22.300076,5.00
246,688.454109,13.924252,5.00
247,701.539373,15.864743,5.00
248,678.205722,5.947379,5.00
249,691.533077,8.528026,5.00
250,628.580573,14.124419,5.00
251,634.195962,9.012096,5.00
252,723.115677,9.071144,5.00
253,682.865213,8.845758,5.00
254,662.035771,126.526323,5.00
255,678.679002,10.747949,5.00
256,635.283078,11.721066,5.00
257,672.368356,13.934242,5.00
258,670.866529,20.999239,5.00
259,666.203363,15.836408,5.00
260,707.659596,8.490923,5.00
261,716.983294,7.540377,5.00
262,685.155594,19.187226,5.00
263,756.890102,9.929282,5.00
264,713.367161,12.801831,5.00
265,733.038678,15.635068,5.00
266,715.988770,13.666541,5.00
267,700.448055,10.160424,5.00
268,763.189800,11.621273,5.00
269,752.413117,2.979647,5.00
270,680.029079,11.718427,5.00
271,660.819212,11.214469,5.00
272,673.270982,49.942637,5.00
273,707.252978,30.592578,5.00
274,712.929087,19.462381,5.00
275,725.873001,12.417991,5.00
276,699.172196,22.750036,5.00
277,695.750954,8.966710,5.00
278,717.587869,19.858285,5.00
279,648.027426,21.185654,5.00
280,707.895550,13.545461,5.00
281,720.048565,15.069682,5.00
282,770.995468,8.579253,5.00
283,613.886257,13.784792,5.00
284,707.877592,25.792254,5.00
285,697.017590,10.289738,5.00
286,671.074064,9.759021,5.00
287,700.300872,9.313073,5.00
288,660.072678,12.928319,5.00
289,695.714480,6.116328,5.00
290,732.255719,95.660666,5.00
291,741.965192,7.668939,5.00
292,666.446648,16.449520,5.00
293,662.144197,13.254980,5.00
294,724.194026,6.304275,5.00
295,696.108834,6.781632,5.00
296,743.091375,3.191313,5.00
297,711.492682,16.634155,5.00
298,770.198418,5.837288,5.00
299,740.413449,10.650300,5.00
300,698.114001,29.150627,5.00
301,742.440538,16.919082,5.00
302,732.706069,18.164092,5.00
303,776.649272,8.251082,5.00
